File Name,CPU Data
high_medium_grpc4,98.1% usage
medium_large_grpc7,59.7% usage
medium_medium_grpc5,62.1% usage
low_medium_grpc3,10.0% usage
low_medium_grpc2,14.5% usage
medium_medium_grpc4,62.1% usage
low_small_grpc1,73.5% usage
medium_large_grpc6,62.6% usage
high_medium_grpc5,116.9% usage
medium_large_grpc4,64.3% usage
high_medium_grpc7,113.5% usage
low_small_grpc3,13.9% usage
medium_medium_grpc6,58.7% usage
medium_medium_grpc7,60.7% usage
low_medium_grpc1,13.2% usage
low_small_grpc2,10.6% usage
high_medium_grpc6,106.1% usage
medium_large_grpc5,59.0% usage
medium_large_grpc1,64.4% usage
high_medium_grpc2,102.1% usage
low_small_grpc6,10.9% usage
low_medium_grpc5,12.7% usage
medium_medium_grpc3,61.0% usage
medium_medium_grpc2,66.5% usage
low_medium_grpc4,10.7% usage
low_small_grpc7,11.7% usage
high_medium_grpc3,101.2% usage
high_medium_grpc1,106.6% usage
medium_large_grpc2,59.9% usage
high_small_grpc8,108.3% usage
low_small_grpc5,11.0% usage
low_medium_grpc6,12.0% usage
low_medium_grpc7,12.6% usage
medium_medium_grpc1,62.5% usage
low_small_grpc4,12.0% usage
high_small_grpc9,104.5% usage
medium_large_grpc3,60.2% usage
medium_small_grpc1,59.8% usage
low_large_grpc6,12.8% usage
medium_medium_grpc10,62.4% usage
low_large_grpc7,11.9% usage
medium_small_grpc2,61.8% usage
high_large_grpc8,93.3% usage
high_large_grpc10,100.1% usage
medium_small_grpc10,59.5% usage
low_large_grpc5,10.2% usage
high_small_grpc10,103.2% usage
medium_large_grpc10,63.9% usage
low_large_grpc4,11.5% usage
high_large_grpc9,98.8% usage
medium_small_grpc3,59.0% usage
medium_small_grpc7,55.3% usage
low_large_grpc1,12.7% usage
medium_small_grpc6,54.4% usage
medium_small_grpc4,59.4% usage
low_small_grpc10,10.5% usage
low_large_grpc3,11.2% usage
low_medium_grpc10,10.6% usage
low_large_grpc10,10.0% usage
low_large_grpc2,13.1% usage
medium_small_grpc5,61.1% usage
medium_small_grpc8,60.2% usage
high_large_grpc2,97.2% usage
high_large_grpc3,94.6% usage
medium_small_grpc9,57.3% usage
high_large_grpc1,97.5% usage
high_large_grpc4,96.1% usage
low_large_grpc9,9.5% usage
low_large_grpc8,12.1% usage
high_large_grpc5,97.6% usage
high_large_grpc7,99.7% usage
high_large_grpc6,102.5% usage
high_small_grpc4,106.4% usage
low_small_grpc9,12.4% usage
low_small_grpc8,11.3% usage
high_small_grpc5,104.4% usage
high_small_grpc7,111.7% usage
low_medium_grpc9,10.8% usage
low_medium_grpc8,11.6% usage
high_small_grpc6,111.8% usage
medium_large_grpc8,56.6% usage
high_small_grpc2,103.5% usage
high_medium_grpc10,104.5% usage
high_small_grpc3,107.9% usage
medium_large_grpc9,60.7% usage
high_medium_grpc8,127.6% usage
high_small_grpc1,96.7% usage
medium_medium_grpc9,63.7% usage
medium_medium_grpc8,57.8% usage
high_medium_grpc9,102.6% usage
