File Name,Average Response Time,Request Type,Frequency,Size,Power
medium_medium_rest2,100.94733612670098,-0.0012484394506866417,1.0,1.0,8.31
low_medium_rest4,92.97414449392818,-0.012345679012345678,0.0,1.0,5.98
high_medium_rest3,100.49649525777204,-0.00024993751562109475,2.0,1.0,20.0
low_small_rest7,98.01158381742425,-0.012345679012345678,0.0,0.0,6.17
low_small_rest6,114.47856667509768,-0.012345679012345678,0.0,0.0,6.89
medium_large_rest1,121.13834000716452,-0.0012484394506866417,1.0,2.0,9.28
high_medium_rest2,101.99351762159495,-0.00024993751562109475,2.0,1.0,20.6
low_medium_rest5,85.30976891925093,-0.012345679012345678,0.0,1.0,6.10
medium_medium_rest3,97.05576626351103,-0.0012484394506866417,1.0,1.0,12.8
low_medium_rest7,101.91711439401843,-0.012345679012345678,0.0,1.0,6.31
medium_medium_rest1,97.25118534464855,-0.0012484394506866417,1.0,1.0,13.2
medium_large_rest3,133.44688045588555,-0.0012484394506866417,1.0,2.0,9.09
high_small_rest9,103.09320168511476,-0.00024993751562109475,2.0,0.0,20.7
low_small_rest4,116.47802175139077,-0.012345679012345678,0.0,0.0,5.56
low_small_rest5,106.86232881853357,-0.012345679012345678,0.0,0.0,6.09
high_small_rest8,103.09603199490812,-0.00024993751562109475,2.0,0.0,20.6
high_medium_rest1,98.79216228844598,-0.00024993751562109475,2.0,1.0,20.1
medium_large_rest2,133.66194788512075,-0.0012484394506866417,1.0,2.0,8.52
low_medium_rest6,112.97016663011163,-0.012345679012345678,0.0,1.0,6.55
low_medium_rest2,108.53153626667336,-0.012345679012345678,0.0,1.0,11.0
medium_medium_rest4,103.29638153489213,-0.0012484394506866417,1.0,1.0,8.53
medium_large_rest6,129.1874595338595,-0.0012484394506866417,1.0,2.0,8.96
high_medium_rest5,98.72148599202046,-0.00024993751562109475,2.0,1.0,20.6
low_small_rest1,136.7810404044576,-0.012345679012345678,0.0,0.0,6.27
high_medium_rest4,96.88171766279265,-0.00024993751562109475,2.0,1.0,21.0
medium_large_rest7,129.52183282613987,-0.0012484394506866417,1.0,2.0,8.35
medium_medium_rest5,96.2411659519421,-0.0012484394506866417,1.0,1.0,13.4
low_medium_rest3,101.30488549475558,-0.012345679012345678,0.0,1.0,6.45
