File Name,CPU Data
medium_medium_rest2,51.5% usage
low_medium_rest4,10.0% usage
high_medium_rest3,67.0% usage
low_small_rest7,10.2% usage
low_small_rest6,31.4% usage
medium_large_rest1,50.1% usage
high_medium_rest2,72.5% usage
low_medium_rest5,10.2% usage
medium_medium_rest3,47.9% usage
low_medium_rest7,11.8% usage
medium_medium_rest1,55.1% usage
medium_large_rest3,53.6% usage
high_small_rest9,75.1% usage
low_small_rest4,9.6% usage
low_small_rest5,12.2% usage
high_small_rest8,68.9% usage
high_medium_rest1,76.4% usage
medium_large_rest2,49.6% usage
low_medium_rest6,12.4% usage
low_medium_rest2,19.2% usage
medium_medium_rest4,50.9% usage
medium_large_rest6,49.1% usage
high_medium_rest5,72.0% usage
low_small_rest1,15.7% usage
high_medium_rest4,68.8% usage
medium_large_rest7,49.2% usage
medium_medium_rest5,48.7% usage
low_medium_rest3,11.1% usage
medium_medium_rest7,48.3% usage
low_medium_rest1,12.7% usage
high_medium_rest6,71.8% usage
medium_large_rest5,50.1% usage
low_small_rest2,10.7% usage
low_small_rest3,11.4% usage
medium_large_rest4,47.1% usage
high_medium_rest7,63.6% usage
medium_medium_rest6,46.6% usage
medium_small_rest6,49.7% usage
low_large_rest1,12.3% usage
high_small_rest10,70.5% usage
medium_large_rest10,50.4% usage
medium_small_rest7,48.6% usage
high_large_rest10,55.2% usage
medium_small_rest10,53.5% usage
medium_small_rest5,49.6% usage
low_large_rest2,12.0% usage
low_large_rest3,11.9% usage
medium_medium_rest10,47.8% usage
medium_small_rest4,49.6% usage
low_large_rest7,12.2% usage
low_large_rest10,11.9% usage
low_large_rest6,9.9% usage
low_medium_rest10,9.5% usage
medium_small_rest1,46.8% usage
low_small_rest10,11.9% usage
medium_small_rest3,52.3% usage
high_large_rest9,51.8% usage
low_large_rest4,12.2% usage
low_large_rest5,22.8% usage
high_large_rest8,56.8% usage
medium_small_rest2,53.5% usage
high_large_rest5,54.1% usage
low_large_rest8,12.0% usage
low_large_rest9,11.2% usage
high_large_rest4,52.4% usage
high_large_rest6,52.9% usage
high_large_rest7,53.8% usage
medium_small_rest9,50.2% usage
high_large_rest3,55.9% usage
high_large_rest2,56.9% usage
medium_small_rest8,49.4% usage
high_large_rest1,63.2% usage
medium_large_rest9,49.7% usage
high_small_rest3,70.8% usage
high_small_rest2,85.4% usage
medium_large_rest8,52.3% usage
medium_medium_rest8,52.8% usage
high_medium_rest9,70.2% usage
high_small_rest1,66.9% usage
high_medium_rest8,71.6% usage
medium_medium_rest9,52.8% usage
high_small_rest5,69.3% usage
low_small_rest8,11.3% usage
low_small_rest9,13.3% usage
high_small_rest4,67.6% usage
low_medium_rest8,10.3% usage
high_small_rest6,70.9% usage
high_medium_rest10,71.4% usage
high_small_rest7,66.2% usage
low_medium_rest9,12.8% usage
