Average Response Time,Request Type,Frequency,Size
130.65041694790125,1,2,1
108.46158303320408,1,2,1
191.84450013563037,1,2,1
115.32291700132191,1,2,1
161.56804095953703,1,2,1
119.01437491178513,1,2,1
284.1439170297235,1,2,1
136.1675001680851,1,2,1
266.9557500630617,1,2,1
129.60354192182422,1,2,1
126.71541702002287,1,2,1
130.85612514987588,1,2,1
107.9582090023905,1,2,1
103.23962499387562,1,2,1
190.666374983266,1,2,1
328.7076661363244,1,2,1
146.35420800186694,1,2,1
194.9466671794653,1,2,1
98.18204212933779,1,2,1
147.92395802214742,1,2,1
130.5777500383556,1,2,1
104.34912517666817,1,2,1
113.02037490531802,1,2,1
254.14012488909066,1,2,1
236.99450003914535,1,2,1
118.31845808774233,1,2,1
128.41758294962347,1,2,1
145.2654590830207,1,2,1
129.36274986714125,1,2,1
168.33958285860717,1,2,1
315.5314999166876,1,2,1
128.2005829270929,1,2,1
144.08612507395446,1,2,1
94.22354190610349,1,2,1
313.2812920957804,1,2,1
162.77700010687113,1,2,1
331.0940000228584,1,2,1
233.2752919755876,1,2,1
111.9345419574529,1,2,1
291.36637481860816,1,2,1
306.4143748488277,1,2,1
108.25587483122945,1,2,1
308.41362522915006,1,2,1
93.98237499408424,1,2,1
114.03720802627504,1,2,1
91.58595907501876,1,2,1
131.48270803503692,1,2,1
103.88491698540747,1,2,1
112.6128330361098,1,2,1
212.79291692189872,1,2,1
251.6118329949677,1,2,1
372.641583904624,1,2,1
182.3253750335425,1,2,1
104.4012091588229,1,2,1
129.62845899164677,1,2,1
190.91766700148582,1,2,1
129.2307919356972,1,2,1
106.00683302618563,1,2,1
311.26483296975493,1,2,1
160.47558304853737,1,2,1
311.94525002501905,1,2,1
133.07883287779987,1,2,1
162.70104190334678,1,2,1
118.48941608332098,1,2,1
125.00283308327198,1,2,1
103.91479195095599,1,2,1
134.65454196557403,1,2,1
325.42033307254314,1,2,1
162.75825002230704,1,2,1
104.4522081501782,1,2,1
187.94533400796354,1,2,1
104.61179190315306,1,2,1
109.72562502138317,1,2,1
173.4559580218047,1,2,1
155.90762486681342,1,2,1
127.72179092280567,1,2,1
111.2389590125531,1,2,1
134.34312492609024,1,2,1
102.27266699075699,1,2,1
104.88887503743172,1,2,1
194.28004184737802,1,2,1
317.1162090729922,1,2,1
113.20570902898908,1,2,1
129.7037499025464,1,2,1
132.0852090138942,1,2,1
145.77379100956023,1,2,1
128.72133287601173,1,2,1
